Name,longitude,latitude,TransportMode,StopPlaceType
PLACE DU BREUIL,800837.9912459,6477311.74050666,bus,,FR:Quay:102:,any,
PLACE DU BREUIL,800700.29143785,6477449.788314,bus,,FR:Quay:104:,any,
LES HALLES,800909.1633952445,6477691.790733725,bus,,FR:Quay:100:,any,
LES HALLES,800891.1044628638,6477682.952522493,bus,,FR:Quay:101:,any,
INDUSTRIE,800757.7203013726,6477506.248198014,bus,,FR:Quay:103:,any,
GARE FIRMINY,800642.1944880938,6477667.086585084,bus,,FR:Quay:107:,any,
GARE FIRMINY,800652.125225643,6477660.008405086,bus,,FR:Quay:108:,any,
PLACE FERRER,801007.0677531675,6477690.957717525,bus,,FR:Quay:109:,any,
PLACE FERRER,801003.2076538843,6477706.976115002,bus,,FR:Quay:110:,any,
LE MAS,801168.5946496845,6477887.40452475,bus,,FR:Quay:111:,any,
LE MAS,801193.672260077,6477899.180306922,bus,,FR:Quay:157:,any,
LE MAS,801069.3382537481,6477964.180410337,bus,,FR:Quay:158:,any,
LE MAS,801057.3329607432,6477962.28437072,bus,,FR:Quay:159:,any,
A. BOISSIER,801327.1214054892,6477496.407962743,bus,,FR:Quay:2047:,any,
A. BOISSIER,801325.004350665,6477482.438624932,bus,,FR:Quay:2048:,any,
BD D'AUVERGNE,802982.3293920993,6477814.023321221,bus,,FR:Quay:112:,any,
BD D'AUVERGNE,802940.2598643973,6477801.393075052,bus,,FR:Quay:113:,any,
LE BOUCHET,803175.6555871252,6477520.641880162,bus,,FR:Quay:114:,any,
LE BOUCHET,803216.573061333,6477515.298179547,bus,,FR:Quay:115:,any,
LA ROMIERE,803493.0306004175,6477480.974375085,bus,,FR:Quay:116:,any,
LA ROMIERE,803586.1608698812,6477506.158312105,bus,,FR:Quay:117:,any,
PYRENEES,803787.2324677699,6477653.312489804,bus,,FR:Quay:118:,any,
PYRENEES,803786.9348888387,6477618.346641473,bus,,FR:Quay:119:,any,
TOURNEBISE,803797.6435959467,6477350.497633062,bus,,FR:Quay:120:,any,
ESPACE CAMUS,803667.4176153147,6477662.324943049,bus,,FR:Quay:2049:,any,
ESPACE CAMUS,803674.5893250963,6477683.24494051,bus,,FR:Quay:2050:,any,
COUBERTIN,804765.8465961014,6477711.923037655,bus,,FR:Quay:127:,any,
COUBERTIN,804774.9143410759,6477720.837738722,bus,,FR:Quay:128:,any,
LES ESSERTINES,813866.8909663395,6477744.330905422,bus,,FR:Quay:129:,any,
LES ESSERTINES,813865.0205650141,6477759.33328424,bus,,FR:Quay:130:,any,
BARBANCHE VILL,815695.3683682596,6477759.726450166,bus,,FR:Quay:131:,any,
BARBANCHE VILL,815684.4557060982,6477768.811287446,bus,,FR:Quay:132:,any,
BARBANCHE PLAT.,815951.6919141973,6477707.587848345,bus,,FR:Quay:133:,any,
