Code plate-forme;Code gare;Code UIC;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;RG;Intitulé gare;UT;TVS;WGS 84
00571-1;571;87721506;Ecully - Tassin;69130;244;Tassin-la-Demi-Lune;69;Rhône;4.7795238;45.7657162;GARES B RHONE ALPES;Ecully - Tassin;ECULLY LA DEMI LUNE GARE;ECY;45.7657162, 4.7795238
00577-1;577;87721431;L'Arbresle;69210;10;Arbresle;69;Rhône;4.618319;45.833299;GARES B RHONE ALPES;L'Arbresle;L ARBRESLE P GARE;LBL;45.833299, 4.618319
00578-1;578;87721423;Lozanne;69380;121;Lozanne;69;Rhône;4.681501;45.854140;GARES B RHONE ALPES;Lozanne;LOZANNE GARE;LOZ;45.85414, 4.681501
00583-1;583;87721324;Anse;69480;9;Anse;69;Rhône;4.719807;45.939304;GARES B RHONE ALPES;Anse;ANSE GARE;ANS;45.939304, 4.719807
00585-1;585;87721282;Saint-Germain-au-Mont-d'Or;69650;207;Saint-Germain-au-Mont-d'Or;69;Rhône;4.804265;45.888352;GARES B RHONE ALPES;Saint-Germain-au-Mont-d'Or;SAINT GERMAIN AU MONT D OR GARE;SGO;45.888352, 4.804265
00589-1;589;87721175;Lyon Gorge de Loup;69009;123;Lyon;69;Rhône;4.804631;45.766078;GARES B RHONE ALPES;Lyon Gorge de Loup;LYON GORGE DE LOUP GARE;LYL;45.766078, 4.804631
00164-1;164;87762906;Lyon Saint-Exupéry TGV;69125;299;Colombier-Saugnieu;69;Rhône;5.074969;45.721109;GARE LYON ST EXUPERY TGV;Lyon Saint-Exupéry TGV;LYON ST EXUPERY TGV GARE;SXA;45.721109, 5.074969
00165-1;165;87761874;Luc-en-Diois;26310;167;Luc-en-Diois;26;Drôme;5.4546227;44.6136615;GARES C RHONE;Luc-en-Diois;LUC EN DIOIS GARE;LDE;44.6136615, 5.4546227
00177-1;177;87761239;L'Isle-d'Abeau;38080;193;Isle-d'Abeau;38;Isère;5.219690;45.607645;GARES B RHONE ALPES;L'Isle-d'Abeau;L ISLE D ABEAU GARE;ISA;45.607645, 5.21969
00468-1;468;87726802;Roanne;42300;187;Roanne;42;Loire;4.063207;46.039383;GARES B RHONE ALPES;Roanne;ROANNE P GARE;ROA;46.039383, 4.063207
00512-1;512;87723742;Saint-Marcel en Dombes;1390;371;Saint-Marcel;1;Ain;4.9775148;45.9503701;GARES C RHONE;Saint-Marcel en Dombes;SAINT MARCEL EN DOMBES GARE;STM;45.9503701, 4.9775148
00519-1;519;87723569;Montluel;1120;262;Montluel;1;Ain;5.057503;45.847770;GARES B RHONE ALPES;Montluel;MONTLUEL GARE;MLU;45.84777, 5.057503
00527-1;527;87723452;Cessieu;38110;64;Cessieu;38;Isère;5.3761179;45.5611596;GARES C RHONE;Cessieu;CESSIEU GARE;CIU;45.5611596, 5.3761179
00536-1;536;87722728;Brignais;69530;27;Brignais;69;Rhône;4.7636596;45.6737721;GARES B RHONE ALPES;Brignais;BRIGNAIS GARE;BGN;45.6737721, 4.7636596
00541-1;541;87722587;Vienne;38200;544;Vienne;38;Isère;4.874211;45.521207;GARES B RHONE ALPES;Vienne;VIENNE GARE;VIE;45.521207, 4.874211
00548-1;548;87722405;Givors;69700;91;Givors;69;Rhône;4.766086;45.584948;GARES B RHONE ALPES;Givors;GIVORS VILLE GARE;GIV;45.584948, 4.766086
00549-1;549;87722298;Grigny le Sablon;69520;96;Grigny;69;Rhône;4.796144;45.6072601;GARES C RHONE;Grigny le Sablon;;LSB;45.6072601, 4.796144
00553-1;553;87722025;Lyon Perrache;69286;123;Lyon;69;Rhône;4.825733;45.748476;GARE LYON PERRACHE;Lyon Perrache;LYON PERRACHE GARE;LPR;45.748476, 4.825733
00558-1;558;87721787;Bois-d'Oingt - Légny;69620;111;Légny;69;Rhône;4.575043;45.9065839;GARES C RHONE;Bois-d'Oingt - Légny;LE BOIS D OINGT LEGNY GARE;BDO;45.9065839, 4.575043
00559-1;559;87721761;Chessy;69380;56;Chessy;69;Rhône;4.6222625;45.885545;GARES C RHONE;Chessy;CHESSY GARE;CZI;45.885545, 4.6222625
00573-1;573;87721472;Tarare;69170;243;Tarare;69;Rhône;4.439208;45.889921;GARES B RHONE ALPES;Tarare;TARARE GARE;TAR;45.889921, 4.439208
00593-1;593;87721035;Amplepuis;69550;6;Amplepuis;69;Rhône;4.326844;45.970982;GARES B RHONE ALPES;Amplepuis;AMPLEPUIS GARE;AMP;45.970982, 4.326844
00594-1;594;87721001;Lyon Vaise;69009;123;Lyon;69;Rhône;4.803960;45.779938;GARES B RHONE ALPES;Lyon Vaise;LYON VAISE GARE;LVI;45.779938, 4.80396
